id	filename	md5	size	state
000cd898-2caf-44b8-8b2c-4b9f07fb6090	000cd898-2caf-44b8-8b2c-4b9f07fb6090/nationwidechildrens.org_omf.TCGA-SY-A9G0.xml	74b6218bba9e7670729a9b45c609c7ee	11304	validated
003bc96d-e7e8-49e2-83db-a5dcb6f6cd47	003bc96d-e7e8-49e2-83db-a5dcb6f6cd47/nationwidechildrens.org_clinical.TCGA-GU-AATP.xml	8c426fd5c68cc802420772b75bdde5f7	43309	validated
00780bca-a22b-4685-aa91-b5462830c446	00780bca-a22b-4685-aa91-b5462830c446/nationwidechildrens.org_clinical.TCGA-CF-A1HR.xml	d67220a60ea31b2a6c2b660a8a74e3cd	33042	validated
00dd96aa-5055-4fcc-ac61-92d47049d05a	00dd96aa-5055-4fcc-ac61-92d47049d05a/nationwidechildrens.org_omf.TCGA-FD-A43Y.xml	23103ad730c044237eec0f95cc83a988	11315	validated
010d8cd3-3d49-4f35-8f14-5a0111245453	010d8cd3-3d49-4f35-8f14-5a0111245453/nationwidechildrens.org_clinical.TCGA-GV-A3QK.xml	5a50724726dbea44fc0fd4f0862e68b3	48537	validated
01ae21c0-4687-44ab-8047-84f208377cc1	01ae21c0-4687-44ab-8047-84f208377cc1/nationwidechildrens.org_omf.TCGA-DK-A6B1.xml	853a29a63931ad13f48fce55d27ced91	11291	validated
021d0c7f-e484-4bf7-b3b8-b89c091a8f48	021d0c7f-e484-4bf7-b3b8-b89c091a8f48/nationwidechildrens.org_clinical.TCGA-XF-A9SJ.xml	989cea805d666d58fb0b58bb252929e1	30112	validated
021f9299-1bb3-48b0-a540-82933ff6ee0f	021f9299-1bb3-48b0-a540-82933ff6ee0f/nationwidechildrens.org_clinical.TCGA-FD-A6TB.xml	f5f71738b75754dbced39e98161f49c5	37077	validated
022f80f5-ee7d-4bbc-bbf4-99e973b294e8	022f80f5-ee7d-4bbc-bbf4-99e973b294e8/nationwidechildrens.org_clinical.TCGA-FD-A5C0.xml	5df714f0fe6001ad7ab73ce453129ce3	55498	validated
027b53df-0c1f-4e4f-8e11-7368fc9c005a	027b53df-0c1f-4e4f-8e11-7368fc9c005a/nationwidechildrens.org_clinical.TCGA-XF-AAMX.xml	7b4e5a7ad06c4fa237af1c941c46fafc	29788	validated
02c8a92c-69af-4f06-a53b-23afb8ff023b	02c8a92c-69af-4f06-a53b-23afb8ff023b/nationwidechildrens.org_clinical.TCGA-E7-A6ME.xml	5583a006e10eedb16ac886af7d1abc68	43453	validated
